E001,ORGIA DE PAPAS,Mixtura colorida de tubérculos andinos acompañados por salsas huancaína rocoto y salsa de Uchucuta (salsa picante),30,ENTRADA
E002,DUO DE CAUSITAS,Nuestra causa tradicional acompañada de un solterito con queso rocoto tomate habas y un tartare de trucha fresca con aceite de oliva y un toque de ají limo,30,ENTRADA
E003,ROCOTO RELLENO,Una suculenta receta casera de soufflé de rocoto relleno con verduras y lomo fino gratinado con queso andino acompañados con rodajas de papa amarilla,30,ENTRADA
E004,CARPACCIO DE ALPACA,Finas láminas de lomito de alpaca con una ligera salsa de aceite de oliva queso parmesano alcaparras hojas de muña y unas gotas de limón,32,ENTRADA
E005,ANTICUCHO DE CORAZÓN,Brochetas peruanas de corazón de res marinadas en salsa anticuchera acompañadas de papitas nativas al chimichurri y granos de choclo bebe,28,ENTRADA
S001,SOPA ANDINA,Sabrosa sopa de Quinua con vegetales de la temporada queso leche y huevo escalfado,28,SOPA
S002,CREMA DEL VALLE,Deliciosa crema de maíz con tiernos granos de choclo grillado queso y huacatay,28,SOPA
S003,CREMA DE ZAPALLO,Tradicional crema andina de zapallo macre,26,SOPA
S004,ENSALADA ORGANICA,Deliciosa mixtura de lechugas orgánicas con palta tomates cherry beterraga champiñones grillados y una vinagreta balsámica,28,ENSALADA
S005,ENSALADA ORGANICA CON POLLO,Deliciosa mixtura de lechugas orgánicas con palta tomates cherry beterraga champiñones grillados y una vinagreta balsámica + tiras de Pollo,32,ENSALADA
S006,PERCEA,Cremosos dados de palta marinados con gotas de limón cebolla china y aceite de oliva coronados con tomates frescos y acompañados con bastones de yucas crocantes,26,ENSALADA
P001,RAVIOLES DE CAMOTE,Pasta fresca rellena de camote queso crema miel de abeja y licor de amaretto servido en una mantequilla aromatizada con salvia fresca y láminas de queso parmesano,40,PASTA
P002,FETTUCCINES BOLOGÑESA / HONGOS DEL BOSQUE O SALSA BOLOGNESA,Deliciosa pasta fresca salteada con hongos del bosque champiñones frescos tomates confitados y arúgula / Pasta fresca con salsa roja de tomates frescos y carne molida,35,PASTA
V001,CHAUFA DE QUINUA,Una delicada combinación de sabores con quinua negra champiñones mix de verduras de la estación aceite de sésamo y un toque de salsa de soya,32,VEGETARIANO
V002,CEVICHE DE MANGO,Pulpa de mango marinada en jugo de limón y tumbo con cilantro cebolla y un toque de ají limo acompañado con camote y choclo chullpi tostado,32,VEGETARIANO
C001,LOMO DE ALPACA,Medallones de alpaca grillados servidos sobre un quenelle de quinua mixta al ají amarillo con nueces y pasas bañados con una suave salsa de oporto de uva y chancaca,65,CARNE
C002,LOMO DE RES,Medallones de lomo a la parrilla bañados en una salsa de pimientos asados acompañados de un exquisito gratín de papa y verduras salteadas,65,CARNE
C003,POLLO RELLENO,Pechuguita de pollo a la parrilla rellena de queso crema y pasas rubias servida con un puré rústico de papas en una cama de salsa pesto de tomate,48,CARNE
C004,TRUCHA GRILLADA,Filete de trucha de lago grillado acompañado de un suave puré de camotes y una salsa mediterránea de tomates alcaparras y naranjas,50,CARNE
C005,ARROZ CON MARISCOS,Langostino pulpo y mixtura de mariscos con ají de casa,50,CARNE
C006,HAMBURGUESA DE CARNE,Carne chimichurri tomate palta y pepinillo acompañado de papas andinas fritas,34,CARNE
T001,ADOBO CUSQUEÑO,Como las recetas antiguas: Cerdo adobado con chicha de jora ají panca verduras y ajos cocido a fuego lento por 6 horas y servido en su propia salsa acompañado con camotes dorados,48,TIPICO
T002,LOMO SALTADO,Lomo de res en tiras salteado con cebollas frescos tomates y ají amarillo con un toque de salsa de soya acompañado con arroz y crocantes papas fritas,50,TIPICO
T003,AJI DE GALLINA,Riquísimo plato peruano a base de pollo deshilachado en salsa cremosa de leche nueces queso parmesano ají amarillo y ají mirasol servido con papas amarillas huevo de codorniz y arroz,40,TIPICO
T004,CEVICHE DE TRUCHA,Fresca trucha de lago marinada en zumo de limón y tumbo con culantro cebollas y un toque de ají limo acompañada de camote y maíz chullpi,46,TIPICO
T005,CUY CHACTADO,Deliciosos brazuelos de cuy crocantes confitados con ajo huacatay y romero acompañados de un rocoto relleno y maíz blanco,52,TIPICO
T006,CUY ENTERO,Cuy tradicional al horno con rocoto relleno y papas doradas (previa reserva),90,TIPICO
P001,AMOR ANDINO,Exquisito cheese cake de arándanos,28,POSTRE
P002,SUEÑO DE MARACUYA,Una delicia de mousse de la fruta pasionaria acompañado por un helado de muña,28,POSTRE
P003,TIRAMISÚ,Clásico postre italiano a nuestro estilo,30,POSTRE
P004,MISTI,Muffin de Chocolate con centro líquido servido con coulis de frambuesa y helado de la casa,30,POSTRE
P005,PIE DE MANZANA,Clásico postre de masa crujiente y dulce relleno de manzana y canela,28,POSTRE
